GEO,DGUID,Total - Shelter-cost-to-income ratio,30% to less than 50%,50% or more,affordability_30plus,affordability_50plus,ALT_GEO_CODE,GEO_NAME,TNR_SF,TNR_LF,"Population, 2021","Population percentage change, 2016 to 2021",Population density per square kilometre,Median age of the population,Average household size,      Median total income of one-person households in 2020 ($),  Renter,    'Not suitable' and 'major repairs needed',simplified_city_nm,market,municipality,starts_2020,starts_2021,Housing Target Status
Pickle Lake,2021A00053560049,170,0,0,0,0,3560049,"Pickle Lake, Township (TP)",5.8,5.4,398,2.6,1.6,31.2,2.6,47600,63.6,0,pickle lake,,,0,0,
Fort Albany (Part) 67,2021A00053560050,,,,,,,,,,,,,,,,,,fort albany part 67,,,0,0,
Attawapiskat 91A,2021A00053560051,0,0,0,,,,,,,,,,,,,,,attawapiskat 91a,,,0,0,
Marten Falls 65,2021A00053560052,,,,,,,,,,,,,,,,,,marten falls 65,,,0,0,
Fort Hope 64,2021A00053560053,0,0,0,,,,,,,,,,,,,,,fort hope 64,,,0,0,
Cat Lake 63C,2021A00053560054,0,0,0,,,,,,,,,,,,,,,cat lake 63c,,,0,0,
Osnaburgh 63B,2021A00053560055,0,0,0,,,,,,,,,,,,,,,osnaburgh 63b,,,0,0,
Lac Seul 28,2021A00053560056,0,0,0,,,,,,,,,,,,,,,lac seul 28,,,0,0,
Wabigoon Lake 27,2021A00053560057,,,,,,,,,,,,,,,,,,wabigoon lake 27,,,0,0,
English River 21,2021A00053560058,0,0,0,,,,,,,,,,,,,,,english river 21,,,0,0,
Weagamow Lake 87,2021A00053560059,0,0,0,,,,,,,,,,,,,,,weagamow lake 87,,,0,0,
Northwest Angle 33B,2021A00053560060,,,,,,,,,,,,,,,,,,northwest angle 33b,,,0,0,
Wabaseemoong,2021A00053560061,0,0,0,,,,,,,,,,,,,,,wabaseemoong,,,0,0,
Sabaskong Bay 35D,2021A00053560063,0,0,0,,,,,,,,,,,,,,,sabaskong bay 35d,,,0,0,
Shoal Lake 34B2,2021A00053560064,,,,,,,,,,,,,,,,,,shoal lake 34b2,,,0,0,
Lake of the Woods 37,2021A00053560065,,,,,,,,,,,,,,,,,,lake of the woods 37,,,0,0,
Kenora 38B,2021A00053560066,0,0,0,,,,,,,,,,,,,,,kenora 38b,,,0,0,
Poplar Hill,2021A00053560067,0,0,0,,,,,,,,,,,,,,,poplar hill,,,0,0,
Shoal Lake 39A,2021A00053560068,0,0,0,,,,,,,,,,,,,,,shoal lake 39a,,,0,0,
Rat Portage 38A,2021A00053560069,,,,,,,,,,,,,,,,,,rat portage 38a,,,0,0,
Deer Lake,2021A00053560070,0,0,0,,,,,,,,,,,,,,,deer lake,,,0,0,
Sandy Lake 88,2021A00053560071,0,0,0,,,,,,,,,,,,,,,sandy lake 88,,,0,0,
